,User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Last_login,Member_since,Number_of_Comments_in_public_forum,Time_spent_chating_H:M,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Friends_ID_list,Risk
0,10386.0,male,"34,6",A,Non_Verified,Homosexual,Switch,Men,50,before_10_days,17.9.2012,32,0:2,0.0,0.0,0.0,18260,No_risk
1,14.0,male,"32,2",J,Non_Verified,Heterosexual,Dominant,Women,518,before_1_days,1.11.2009,710,3:45,9.0,0.0,0.0,"11778,32024,43768,23969,27318,45884,31277",No_risk
2,16721.0,male,"33,6",K,Non_Verified,Heterosexual,Dominant,Women,150,before_3_days,1.4.2013,25,2:15,1.0,1.0,45.0,"19805,21721,19802",No_risk
3,16957.0,male,34,H,Non_Verified,Heterosexual,Dominant,Women,114,before_4_days,8.4.2013,107,359:22,1.0,0.0,1.0,"40847,38183,9507,42259,5807,28118,24848,37170,32209,20332,2164,34086",No_risk
4,17125.0,male,"39,5",B,Non_Verified,Heterosexual,Dominant,Women,497,before_5_days,14.4.2013,600,0:21,0.0,6.0,8.0,"1320,35739,34231,19097,20197,18069,12330,43342,16604,21404,20811,2524,30340,24409,25775,6079,21510,10864,6987,12956,36424,15522,20432,22788,18996,33406,19805,33414,6493,32383,28350,22154,18162,469,23554",No_risk
5,17220.0,female,"47,8",A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,127,before_1_days,19.4.2013,159,1 436:52,1.0,9.0,0.0,"23178,22033,9547,30606,15355,9507,17023,2593,19878,10510,13729,21430,16298,25684,9436,22639,3985,20801,4808,27079,20587,8746,11465,24122,29506,8677,2878,18223,13868,22356,19248,28379,18162",No_risk
6,1726.0,male,"36,7",B,Non_Verified,bicurious,Submisive,Women,18,before_1_days,16.10.2010,1,122:20,17.0,0.0,0.0,,No_risk
7,1750.0,male,51,L,Non_Verified,Heterosexual,Dominant,Nobody,38,before_9_days,22.10.2010,91,0:5,0.0,0.0,2.0,28050,No_risk
8,18162.0,female,"29,5",A,Non_Verified,bicurious,Submisive,Nobody_but_maybe,150,before_4_days,23.5.2013,278,84:19,0.0,3.0,4.0,"11650,15608,21357,17220,19573,8747,14635,26552,41285,3985,13028,27079,885,23620,20253,17125,26327,20587,30849,28953,9752,13422,24319,23707,13004,24629,15497,6493,19248,8963,27309,13615",No_risk
9,18820.0,male,28,J,Non_Verified,Heterosexual,Switch,Women,-26,before_1_days,12.6.2013,4,3:23,0.0,0.0,0.0,"40351,24148,43311",No_risk
10,19437.0,male,"42,9",A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,15,before_1_days,7.7.2013,0,2:2,0.0,0.0,0.0,"32531,38201,24377,42617",No_risk
11,19732.0,female,"45,4",A,Non_Verified,Heterosexual,Submisive,Nobody,36,before_3_days,17.7.2013,47,331:18,0.0,11.0,0.0,"24922,47795,22079,24055,20197,22397,43342,32379,46514,31883,20005,40083,8038,42074,31960,28195,3985,6987,29161,9236,13351,23044,21240,18996,26333,19805,32032,14609,19248,26116,469",No_risk
12,19781.0,male,"36,1",F,Non_Verified,Heterosexual,Switch,Women,30,before_1_days,19.7.2013,0,139:53,0.0,0.0,0.0,"27687,30821",No_risk
13,19805.0,male,42,H,Verified,Heterosexual,Dominant,Nobody_but_maybe,313,before_1_days,20.7.2013,51,508:8,0.0,5.0,0.0,"29362,33755,22397,19878,16604,20811,2524,19732,21510,42074,22639,6987,29161,17125,9236,15522,9326,11465,13422,31150,18996,16721,21721,19248,19802,26116",No_risk
14,19990.0,male,"36,8",E,Non_Verified,Heterosexual,Submisive,Women,0,before_62_days,28.7.2013,0,45:24,0.0,0.0,0.0,,No_risk
15,20926.0,male,"30,9",A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,15,before_1_days,2.9.2013,0,10:41,0.0,0.0,0.0,,No_risk
16,21471.0,male,"33,9",B,Verified,Heterosexual,Dominant,Women,155,before_3_days,26.9.2013,59,0:0,1.0,0.0,0.0,32494,No_risk
17,22458.0,female,"48,6",L,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,236,before_1_days,5.11.2013,501,0:0,0.0,0.0,25.0,,No_risk
