gender,sexuality,age,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,edu_level
Male,Straight,35,White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Associate degree
Male,Bisexual,21,White non-Hispanic,Underweight,Yes,No,No,0,Yes,"Some college, no degree"
Male,Straight,22,White non-Hispanic,Overweight,Yes,No,No,10,Yes,"Some college, no degree"
Male,Straight,19,White non-Hispanic,Overweight,Yes,Yes,No,8,Yes,"Some college, no degree"
Male,Straight,23,White non-Hispanic,Overweight,No,No,Yes and I have,10,No,"High school graduate, diploma or the equivalent (for example: GED)"
Male,Straight,24,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2,Yes,Bachelor’s degree
Male,Straight,22,White non-Hispanic,Underweight,Yes,No,No,2,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
Female,Gay/Lesbian,24,White non-Hispanic,Normal weight,Yes,No,No,10,Yes,Trade/technical/vocational training
Male,Straight,20,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,0,Yes,"Some college, no degree"
Male,Straight,33,White non-Hispanic,Overweight,No,No,Yes but I haven't,6,Yes,Master’s degree
Female,Straight,32,Hispanic (of any race),Overweight,Yes,No,No,5,No,Bachelor’s degree
Male,Straight,25,Asian,Normal weight,Yes,No,No,0,Yes,"Some college, no degree"
Male,Straight,24,White non-Hispanic,Normal weight,No,No,Yes but I haven't,20,No,"Some college, no degree"
Female,Straight,23,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
Male,Straight,22,Hispanic (of any race),Normal weight,Yes,No,Yes but I haven't,0,No,Bachelor’s degree
Male,Straight,23,White non-Hispanic,Underweight,Yes,Yes,No,6,No,"High school graduate, diploma or the equivalent (for example: GED)"
Female,Straight,29,white and asian,Normal weight,Yes,No,Yes but I haven't,5,Yes,Bachelor’s degree
Male,Straight,21,Asian,Normal weight,No,No,No,12,No,Bachelor’s degree
Male,Straight,17,White non-Hispanic,Overweight,Yes,Yes,No,5,Yes,"Some high school, no diploma"
Male,Straight,29,caucasian,Normal weight,Yes,No,Yes but I haven't,1,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
Male,Straight,32,White non-Hispanic,Normal weight,Yes,Yes,No,10,Yes,Bachelor’s degree
Female,Straight,20,White non-Hispanic,Normal weight,Yes,No,No,8,Yes,"Some college, no degree"
Male,Straight,24,Hispanic (of any race),Normal weight,Yes,No,No,40,Yes,"Some high school, no diploma"
Male,Straight,20,White non-Hispanic,Normal weight,Yes,No,No,10,No,Bachelor’s degree
Male,Straight,21,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
Female,Straight,17,White non-Hispanic,Underweight,Yes,No,No,5,Yes,"Some high school, no diploma"
Male,Straight,24,White non-Hispanic,Normal weight,No,Yes,No,3,No,Trade/technical/vocational training
Male,Straight,17,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,"Some high school, no diploma"
Female,Straight,28,Asian,Normal weight,Yes,Yes,No,1,Yes,Bachelor’s degree
Male,Straight,19,White non-Hispanic,Underweight,Yes,No,No,0,Yes,"Some college, no degree"
Male,Straight,17,Asian,Underweight,Yes,Yes,No,5,Yes,"Some high school, no diploma"
Male,Straight,25,White non-Hispanic,Underweight,Yes,Yes,No,6,Yes,Bachelor’s degree
Male,Straight,17,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,5,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
Male,Straight,23,White non-Hispanic,Normal weight,No,No,Yes but I haven't,13,No,"High school graduate, diploma or the equivalent (for example: GED)"
Male,Straight,26,White non-Hispanic,Overweight,Yes,No,No,6,No,"High school graduate, diploma or the equivalent (for example: GED)"
Male,Straight,26,White non-Hispanic,Normal weight,No,No,No,3,Yes,Doctorate degree
Male,Straight,23,White non-Hispanic,Normal weight,No,No,Yes but I haven't,15,Yes,Bachelor’s degree
Male,Straight,25,Asian,Overweight,Yes,Yes,Yes but I haven't,8,Yes,Bachelor’s degree
