Gender,Age,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Last_login,Member_since,Number_of_Comments_in_public_forum,Number_of_offline_meetings_attended,Profile_pictures,Risk,Days,Total_chat_time,Friends
male,34.6,Non_Verified,Homosexual,Switch,Men,before_10_days,2012-09-17,32,0.0,0.0,No_risk,00,0 days 00:02:00.000000000,1.0
male,32.2,Non_Verified,Heterosexual,Dominant,Women,before_1_days,2009-01-11,710,0.0,0.0,No_risk,00,0 days 03:45:00.000000000,7.0
male,33.6,Non_Verified,Heterosexual,Dominant,Women,before_3_days,2013-01-04,25,1.0,45.0,No_risk,00,0 days 02:15:00.000000000,3.0
male,34.0,Non_Verified,Heterosexual,Dominant,Women,before_4_days,2013-08-04,107,0.0,1.0,No_risk,14,0 days 23:22:00.000000000,12.0
male,39.5,Non_Verified,Heterosexual,Dominant,Women,before_5_days,2013-04-14,600,6.0,8.0,No_risk,00,0 days 00:21:00.000000000,35.0
female,47.8,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_1_days,2013-04-19,159,9.0,0.0,No_risk,59,0 days 20:52:00.000000000,33.0
male,36.7,Non_Verified,bicurious,Submisive,Women,before_1_days,2010-10-16,1,0.0,0.0,No_risk,05,0 days 01:20:00.000000000,
male,51.0,Non_Verified,Heterosexual,Dominant,Nobody,before_9_days,2010-10-22,91,0.0,2.0,No_risk,00,0 days 00:05:00.000000000,1.0
female,29.5,Non_Verified,bicurious,Submisive,Nobody_but_maybe,before_4_days,2013-05-23,278,3.0,4.0,No_risk,03,0 days 12:19:00.000000000,32.0
male,28.0,Non_Verified,Heterosexual,Switch,Women,before_1_days,2013-12-06,4,0.0,0.0,No_risk,00,0 days 03:23:00.000000000,3.0
male,42.9,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_1_days,2013-07-07,0,0.0,0.0,No_risk,00,0 days 02:02:00.000000000,4.0
female,45.4,Non_Verified,Heterosexual,Submisive,Nobody,before_3_days,2013-07-17,47,11.0,0.0,No_risk,13,0 days 18:18:00.000000000,31.0
male,36.1,Non_Verified,Heterosexual,Switch,Women,before_1_days,2013-07-19,0,0.0,0.0,No_risk,05,0 days 19:53:00.000000000,2.0
male,42.0,Verified,Heterosexual,Dominant,Nobody_but_maybe,before_1_days,2013-07-20,51,5.0,0.0,No_risk,21,0 days 04:08:00.000000000,26.0
male,36.8,Non_Verified,Heterosexual,Submisive,Women,before_62_days,2013-07-28,0,0.0,0.0,No_risk,01,0 days 21:24:00.000000000,
male,30.9,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,before_1_days,2013-02-09,0,0.0,0.0,No_risk,00,0 days 10:41:00.000000000,
male,33.9,Verified,Heterosexual,Dominant,Women,before_3_days,2013-09-26,59,0.0,0.0,No_risk,00,0 days 00:00:00.000000000,1.0
female,48.6,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_1_days,2013-05-11,501,0.0,25.0,No_risk,00,0 days 00:00:00.000000000,
male,56.2,Non_Verified,Heterosexual,Submisive,Women,before_315_days,2014-10-01,68,0.0,0.0,No_risk,04,0 days 19:34:00.000000000,2.0
male,35.3,Non_Verified,Heterosexual,Submisive,Women,before_6_days,2014-04-03,3,0.0,0.0,No_risk,00,0 days 03:25:00.000000000,
female,23.8,Non_Verified,bisexual,Submisive,Nobody,before_3_days,2014-06-24,247,0.0,5.0,No_risk,00,0 days 01:25:00.000000000,1.0
male,35.3,Non_Verified,Heterosexual,Submisive,Nobody,before_15_days,2014-06-24,0,0.0,0.0,No_risk,00,0 days 03:20:00.000000000,
male,36.7,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_1_days,2011-06-14,845,0.0,0.0,No_risk,00,0 days 00:04:00.000000000,1.0
male,39.3,Verified,Heterosexual,Dominant,Nobody_but_maybe,before_57_days,2014-11-29,355,0.0,0.0,No_risk,00,0 days 20:59:00.000000000,3.0
male,47.3,Non_Verified,Heterosexual,Dominant,Women,before_386_days,2014-11-30,166,0.0,0.0,No_risk,00,0 days 00:00:00.000000000,
female,29.7,Verified,bicurious,Submisive,Nobody,before_1_days,2014-03-12,332,3.0,11.0,No_risk,00,0 days 09:39:00.000000000,11.0
male,50.8,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,before_212_days,2011-08-16,42,0.0,0.0,No_risk,00,0 days 00:01:00.000000000,
male,26.8,Non_Verified,Heterosexual,Dominant,Women,before_1_days,2015-04-20,0,0.0,0.0,No_risk,01,0 days 13:24:00.000000000,1.0
female,31.3,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,before_725_days,2015-04-05,0,0.0,0.0,No_risk,00,0 days 00:00:00.000000000,
male,39.2,Non_Verified,Heterosexual,Switch,Women,before_11_days,2015-05-20,0,0.0,0.0,No_risk,00,0 days 00:00:00.000000000,
